entry_time,exit_time,status,pnl,score,type,risk_pct,year,month,dow,hour,week
2022-11-29 14:30:00,2022-11-29 14:45:00,loss,-57.9645178460942,5,short,0.00579645178460942,2022,11,Tuesday,14,48
2022-11-29 17:30:00,2022-11-30 01:40:00,loss,-100.44442204586854,5,short,0.010044442204586853,2022,11,Wednesday,1,48
2022-11-30 14:55:00,2022-11-30 18:25:00,win,122.42883373000824,5,short,0.00489715334920033,2022,11,Wednesday,18,48
2022-12-01 08:40:00,2022-12-01 09:10:00,loss,-55.801275820009224,5,long,0.005580127582000922,2022,12,Thursday,9,48
2022-12-01 09:55:00,2022-12-01 12:10:00,win,197.91952010749455,5,long,0.007916780804299781,2022,12,Thursday,12,48
2022-12-01 12:10:00,2022-12-01 13:05:00,win,431.31492368862774,7,long,0.01725259694754511,2022,12,Thursday,13,48
2022-12-01 13:05:00,2022-12-01 13:40:00,win,286.2822564734647,6,long,0.011451290258938589,2022,12,Thursday,13,48
2022-12-01 13:45:00,2022-12-01 14:05:00,win,200.75954212329555,6,long,0.008030381684931823,2022,12,Thursday,14,48
2022-12-01 15:10:00,2022-12-01 15:25:00,loss,-94.91360250605143,7,long,0.009491360250605143,2022,12,Thursday,15,48
2022-12-01 15:30:00,2022-12-06 00:00:00,loss,-52.45999926865831,5,long,0.005245999926865831,2022,12,Tuesday,0,49
2022-12-06 10:30:00,2022-12-06 11:50:00,win,207.27572189589586,5,long,0.008291028875835835,2022,12,Tuesday,11,49
2022-12-06 12:00:00,2022-12-06 13:45:00,loss,-83.53772401209467,5,long,0.008353772401209467,2022,12,Tuesday,13,49
2022-12-06 13:55:00,2022-12-06 14:25:00,loss,-66.56216541166775,5,long,0.006656216541166775,2022,12,Tuesday,14,49
2022-12-06 18:30:00,2022-12-06 19:40:00,loss,-104.24740987136246,5,short,0.010424740987136246,2022,12,Tuesday,19,49
2022-12-07 08:50:00,2022-12-07 09:05:00,loss,-62.91193930533001,5,long,0.006291193930533001,2022,12,Wednesday,9,49
2022-12-07 09:05:00,2022-12-07 11:50:00,loss,-66.06735512558781,5,long,0.006606735512558781,2022,12,Wednesday,11,49
2022-12-07 12:50:00,2022-12-07 13:30:00,win,213.6152244243378,5,long,0.008544608976973513,2022,12,Wednesday,13,49
2022-12-07 13:30:00,2022-12-07 14:35:00,win,161.94245507486454,5,long,0.006477698202994582,2022,12,Wednesday,14,49
2022-12-07 14:55:00,2022-12-07 15:35:00,loss,-74.57179477987351,6,long,0.0074571794779873515,2022,12,Wednesday,15,49
2022-12-07 16:50:00,2022-12-07 18:40:00,win,192.12313199982205,5,long,0.007684925279992883,2022,12,Wednesday,18,49
2022-12-07 18:55:00,2022-12-07 21:15:00,loss,-115.54241397145323,5,long,0.011554241397145323,2022,12,Wednesday,21,49
2022-12-20 08:00:00,2022-12-20 08:45:00,win,279.28858942321847,6,long,0.011171543576928738,2022,12,Tuesday,8,51
2022-12-20 09:15:00,2022-12-20 11:40:00,win,306.6719080032212,7,long,0.012266876320128847,2022,12,Tuesday,11,51
2022-12-20 11:40:00,2022-12-20 12:05:00,loss,-94.09840889750869,5,long,0.00940984088975087,2022,12,Tuesday,12,51
2022-12-20 12:10:00,2022-12-20 12:20:00,loss,-99.10844658286604,5,long,0.009910844658286604,2022,12,Tuesday,12,51
2022-12-20 13:35:00,2022-12-20 14:45:00,win,253.6427645166505,6,long,0.01014571058066602,2022,12,Tuesday,14,51
2022-12-20 15:40:00,2022-12-22 13:35:00,loss,-82.37997355927503,6,long,0.008237997355927503,2022,12,Thursday,13,51
2023-01-03 09:25:00,2023-01-03 09:35:00,loss,-61.551689817973575,5,long,0.006155168981797358,2023,1,Tuesday,9,1
2023-01-03 09:40:00,2023-01-03 10:20:00,loss,-85.88702987208343,6,long,0.008588702987208343,2023,1,Tuesday,10,1
2023-01-03 12:15:00,2023-01-03 13:20:00,win,234.60095581054918,5,long,0.009384038232421968,2023,1,Tuesday,13,1
2023-01-03 13:20:00,2023-01-03 14:30:00,win,308.956472179657,6,long,0.012358258887186281,2023,1,Tuesday,14,1
2023-01-03 14:55:00,2023-01-03 15:05:00,loss,-111.19890416829554,7,long,0.011119890416829554,2023,1,Tuesday,15,1
2023-01-03 15:05:00,2023-01-03 15:10:00,loss,-108.62864175548222,7,long,0.010862864175548222,2023,1,Tuesday,15,1
2023-01-03 16:55:00,2023-01-05 00:00:00,win,173.64517655903188,5,long,0.006945807062361275,2023,1,Thursday,0,1
2023-01-05 09:15:00,2023-01-05 12:00:00,loss,-57.51230332857323,5,long,0.005751230332857323,2023,1,Thursday,12,1
2023-01-05 12:15:00,2023-01-05 12:45:00,loss,-83.95082191944135,5,long,0.008395082191944136,2023,1,Thursday,12,1
2023-01-05 18:50:00,2023-01-05 19:10:00,loss,-115.71335697332745,5,long,0.011571335697332746,2023,1,Thursday,19,1
2023-01-10 08:05:00,2023-01-10 09:30:00,win,155.75478136401475,5,long,0.00623019125456059,2023,1,Tuesday,9,2
