date,wins,losses,pnl
2025-11-25,0,2,-134.39181254057604
2025-11-26,0,1,-66.18965601558723
2025-11-28,0,2,-130.40024131630838
2025-12-01,1,1,62.9392819014229
2025-12-02,0,3,-192.6203404029951
2025-12-03,0,1,-62.926946457252534
2025-12-05,0,1,-62.29767699268001
2025-12-08,1,0,123.34940044550642
2025-12-11,1,0,125.81638845441654
2025-12-12,0,2,-127.69105264238735
2025-12-13,0,1,-62.889447585328554
2025-12-15,0,2,-123.89850068785579
2025-12-16,0,2,-121.43292052416746
2025-12-18,1,0,119.61447779471007
2025-12-22,1,1,59.7833160017961
2025-12-23,1,2,-1.8357162616925393
2025-12-24,0,2,-122.5498907486793
2025-12-26,1,1,59.15021354991205
2025-12-29,1,4,-123.0683693921878
2025-12-30,2,1,179.13065034869817
2025-12-31,1,0,123.01897142056121
2026-01-02,1,1,61.484881915996496
2026-01-04,1,0,126.70904848729235
2026-01-05,0,1,-64.6216147285191
2026-01-06,0,3,-190.01333132612282
2026-01-07,1,0,124.15053053594535
2026-01-08,0,1,-63.31677057333213
2026-01-09,1,0,125.3672057351976
2026-01-12,1,3,-65.8235524097867
2026-01-14,0,1,-63.279039400852916
2026-01-16,1,0,125.29249801368879
2026-01-18,1,0,127.79834797396256
2026-01-20,1,3,-67.10001396630412
2026-01-21,2,1,193.49266951824274
2026-01-22,0,3,-197.3366636544559
2026-01-23,0,1,-64.46771738569574
2026-01-24,1,1,62.546579407602
2026-01-25,1,2,-1.9205654789762576
2026-01-26,2,2,126.90020768877726
2026-01-27,1,0,131.39660485602562
2026-01-28,0,3,-199.03313860226967
2026-01-29,3,4,126.09164955071834
2026-01-30,3,6,-5.9239214312428174
2026-01-31,0,3,-196.6907570455202
2026-02-01,0,2,-127.87084653456697
2026-02-02,6,6,379.5026641867609
2026-02-03,1,4,-134.8285581109121
2026-02-04,1,4,-132.10609045450323
2026-02-05,3,6,-5.729161227920812
2026-02-06,2,5,-67.82481682138018
2026-02-08,1,1,62.100775937431436
2026-02-09,1,1,62.70936354161827
2026-02-11,0,4,-254.6137678992361
2026-02-12,1,1,60.82870037891361
2026-02-13,1,3,-64.52752727625284
2026-02-17,2,3,58.925748922737874
2026-02-18,0,2,-124.61851957895657
2026-02-19,0,1,-61.376186451927296
2026-02-20,0,3,-180.47047726706057
2026-02-21,1,0,117.91543962947485
2026-02-22,0,2,-119.67237967995402
2026-02-23,0,3,-175.05814074531236
2026-02-24,0,3,-169.85873890703584
2026-02-25,1,0,110.9819632354183
2026-02-26,1,0,113.20160250012667
2026-02-27,1,0,115.4656345501292
2026-02-28,2,1,176.63886587224945
2026-03-01,1,3,-62.443272524251924
2026-03-02,3,0,367.4281324144038
2026-03-03,3,1,322.3147859296025
2026-03-04,2,2,131.8194086767872
2026-03-05,0,4,-268.91273790363675
2026-03-06,2,3,62.27209540557857
2026-03-08,1,1,64.85507347128771
2026-03-09,1,0,133.65439426797212
2026-03-10,0,4,-268.59233717475274
2026-03-11,0,1,-65.47781770491825
2026-03-12,1,2,-1.9317265779305046
2026-03-13,1,1,63.50764781684799
