entry_time,exit_time,status,pnl,score,type
2021-07-06 17:25:00,2021-07-06 18:45:00,loss,-154.90416929889474,5,short
2021-07-08 08:00:00,2021-07-08 08:30:00,win,720.3043872398605,7,long
2021-07-08 09:10:00,2021-07-08 10:20:00,loss,-159.42737104242246,5,long
2021-07-08 10:40:00,2021-07-08 13:35:00,loss,-158.15195207408308,5,long
2021-07-08 14:00:00,2021-07-08 15:00:00,win,392.216841143726,5,short
2021-07-08 15:35:00,2021-07-08 19:50:00,loss,-160.02447118664023,5,short
2021-07-13 10:30:00,2021-07-13 10:40:00,loss,-158.7442754171471,5,long
2021-07-13 10:45:00,2021-07-13 11:00:00,loss,-157.47432121380993,5,long
2021-07-13 11:45:00,2021-07-13 12:00:00,win,390.53631661024866,5,long
2021-07-13 12:10:00,2021-07-13 12:30:00,loss,-159.33881717698142,5,long
2021-07-13 12:35:00,2021-07-13 12:50:00,loss,-158.06410663956558,5,long
2021-07-13 13:30:00,2021-07-13 18:00:00,loss,-235.19939067967357,6,long
2021-07-13 18:00:00,2021-07-13 18:25:00,loss,-154.91799866101167,5,short
2021-07-14 08:05:00,2021-07-14 10:35:00,win,384.196636679309,5,long
2021-07-14 10:35:00,2021-07-14 10:45:00,loss,-235.12834164773707,6,long
2021-07-14 10:45:00,2021-07-14 12:00:00,win,580.7670038699105,6,long
2021-07-14 13:05:00,2021-07-14 13:50:00,loss,-299.0950069930039,7,long
2021-07-14 14:00:00,2021-07-14 14:10:00,loss,-235.68686551048708,6,long
2021-07-14 15:15:00,2021-07-14 15:40:00,loss,-155.2390820829075,5,long
2021-07-14 15:55:00,2021-07-15 05:45:00,win,384.9929235656106,5,long
2021-07-15 08:10:00,2021-07-15 10:00:00,loss,-157.07711281476912,5,long
2021-07-15 10:35:00,2021-07-15 12:30:00,loss,-155.82049591225098,5,short
2021-07-15 12:30:00,2021-07-15 12:45:00,loss,-154.57393194495296,5,long
2021-07-15 12:50:00,2021-07-15 13:05:00,loss,-153.33734048939334,5,short
2021-07-15 13:05:00,2021-07-15 14:10:00,loss,-228.1659626482173,6,long
2021-07-15 14:10:00,2021-07-15 15:20:00,loss,-225.42797109643868,6,short
2021-07-15 16:00:00,2021-07-15 23:05:00,win,371.2047257388024,5,long
2021-07-27 08:15:00,2021-07-27 09:10:00,loss,-151.45152810143136,5,short
2021-07-27 10:00:00,2021-07-27 10:10:00,loss,-150.2399158766199,5,short
2021-07-27 10:10:00,2021-07-27 11:45:00,loss,-149.03799654960693,5,short
2021-07-27 13:40:00,2021-07-27 14:30:00,win,554.4213471645377,6,short
2021-07-27 14:40:00,2021-07-27 15:20:00,loss,-228.4215950317896,6,short
2021-07-27 16:05:00,2021-07-27 17:50:00,loss,-150.45369059427208,5,short
2021-07-27 18:40:00,2021-07-29 00:00:00,loss,-149.2500610695179,5,short
2021-07-29 08:20:00,2021-07-29 10:05:00,win,555.2102271786066,6,long
2021-07-29 10:05:00,2021-07-29 11:20:00,win,571.8665339939648,6,long
2021-07-29 11:30:00,2021-07-29 11:50:00,loss,-235.60901200551348,6,long
2021-07-29 11:50:00,2021-07-29 15:30:00,win,727.442824567023,7,long
2021-07-29 15:30:00,2021-07-29 20:00:00,loss,-241.51101775625165,6,long
2021-08-03 08:00:00,2021-08-03 08:20:00,loss,-298.26610692897077,7,short
2021-08-03 09:10:00,2021-08-03 10:10:00,loss,-156.68912817335263,5,short
2021-08-03 10:45:00,2021-08-03 12:00:00,loss,-155.43561514796582,5,short
2021-08-03 12:00:00,2021-08-03 12:45:00,loss,-154.1921302267821,5,short
2021-08-03 13:00:00,2021-08-03 14:40:00,loss,-152.95859318496784,5,long
2021-08-03 15:00:00,2021-08-04 01:50:00,loss,-151.73492443948808,5,short
2021-08-04 08:30:00,2021-08-04 09:45:00,loss,-150.52104504397218,5,short
2021-08-04 10:55:00,2021-08-04 11:25:00,win,373.292191709051,5,long
2021-08-04 11:25:00,2021-08-04 11:45:00,win,380.7580355432319,5,long
2021-08-04 11:45:00,2021-08-04 12:15:00,win,388.3731962540966,5,long
